
=== STT Models (2) ===
  'inworld-stt-1'           'Inworld STT 1'                langs=['en'] is_default=True
  'groq-whisper-large-v3'   'Groq Whisper Large v3'        langs=['*'] is_default=False

=== TTS Models (4) ===
  'tts-1.5-max'        'TTS 1.5 Max'        langs=15 is_default=True
  'tts-1.5-mini'       'TTS 1.5 Mini'       langs=15 is_default=False
  'tts-1-max'          'TTS 1 Max'          langs=15 is_default=False
  'tts-1'              'TTS 1'              langs=15 is_default=False

=== TTS Voices (135) ===
  'Loretta'            'Loretta'            gender=female accent=?            age=middle_aged langs=['en-US']
  'Darlene'            'Darlene'            gender=female accent=?            age=middle_aged langs=['en-US']
  'Marlene'            'Marlene'            gender=female accent=?            age=middle_aged langs=['en-US']
  'Hank'               'Hank'               gender=male   accent=?            age=middle_aged langs=['en-US']
  'Evelyn'             'Evelyn'             gender=female accent=?            age=middle_aged langs=['en-US']
  'Celeste'            'Celeste'            gender=female accent=?            age=middle_aged langs=['en-US']
  'Pippa'              'Pippa'              gender=female accent=australian   age=middle_aged langs=['en-US']
  'Tessa'              'Tessa'              gender=female accent=australian   age=middle_aged langs=['en-US']
  'Liam'               'Liam'               gender=male   accent=australian   age=middle_aged langs=['en-US']
  'Callum'             'Callum'             gender=male   accent=australian   age=middle_aged langs=['en-US']
  'Hamish'             'Hamish'             gender=male   accent=australian   age=middle_aged langs=['en-US']
  'Abby'               'Abby'               gender=female accent=?            age=young      langs=['en-US']
  'Graham'             'Graham'             gender=male   accent=british      age=middle_aged langs=['en-US']
  'Rupert'             'Rupert'             gender=male   accent=british      age=middle_aged langs=['en-US']
  'Mortimer'           'Mortimer'           gender=male   accent=?            age=?          langs=['en-US']
  'Snik'               'Snik'               gender=male   accent=?            age=?          langs=['en-US']
  'Anjali'             'Anjali'             gender=female accent=indian       age=middle_aged langs=['en-US']
  'Saanvi'             'Saanvi'             gender=female accent=indian       age=middle_aged langs=['en-US']
  'Arjun'              'Arjun'              gender=male   accent=indian       age=middle_aged langs=['en-US']
  'Claire'             'Claire'             gender=female accent=?            age=middle_aged langs=['en-US']
  'Oliver'             'Oliver'             gender=male   accent=?            age=middle_aged langs=['en-US']
  'Simon'              'Simon'              gender=male   accent=?            age=middle_aged langs=['en-US']
  'Elliot'             'Elliot'             gender=male   accent=?            age=middle_aged langs=['en-US']
  'James'              'James'              gender=male   accent=?            age=middle_aged langs=['en-US']
  'Serena'             'Serena'             gender=female accent=?            age=middle_aged langs=['en-US']
  'Gareth'             'Gareth'             gender=male   accent=?            age=middle_aged langs=['en-US']
  'Vinny'              'Vinny'              gender=male   accent=?            age=middle_aged langs=['en-US']
  'Lauren'             'Lauren'             gender=female accent=?            age=middle_aged langs=['en-US']
  'Jessica'            'Jessica'            gender=female accent=?            age=middle_aged langs=['en-US']
  'Ethan'              'Ethan'              gender=male   accent=?            age=young      langs=['en-US']
  'Tyler'              'Tyler'              gender=male   accent=?            age=middle_aged langs=['en-US']
  'Jason'              'Jason'              gender=male   accent=?            age=middle_aged langs=['en-US']
  'Chloe'              'Chloe'              gender=female accent=?            age=young      langs=['en-US']
  'Veronica'           'Veronica'           gender=female accent=?            age=middle_aged langs=['en-US']
  'Victoria'           'Victoria'           gender=female accent=british      age=middle_aged langs=['en-US']
  'Miranda'            'Miranda'            gender=female accent=?            age=middle_aged langs=['en-US']
  'Sebastian'          'Sebastian'          gender=male   accent=?            age=middle_aged langs=['en-US']
  'Victor'             'Victor'             gender=male   accent=?            age=middle_aged langs=['en-US']
  'Malcolm'            'Malcolm'            gender=male   accent=?            age=middle_aged langs=['en-US']
  'Nate'               'Nate'               gender=male   accent=?            age=young      langs=['en-US']
  'Brian'              'Brian'              gender=male   accent=?            age=middle_aged langs=['en-US']
  'Amina'              'Amina'              gender=female accent=?            age=middle_aged langs=['en-US']
  'Kelsey'             'Kelsey'             gender=female accent=?            age=middle_aged langs=['en-US']
  'Derek'              'Derek'              gender=male   accent=?            age=middle_aged langs=['en-US']
  'Evan'               'Evan'               gender=male   accent=?            age=middle_aged langs=['en-US']
  'Kayla'              'Kayla'              gender=female accent=?            age=young      langs=['en-US']
  'Jake'               'Jake'               gender=male   accent=?            age=young      langs=['en-US']
  'Grant'              'Grant'              gender=male   accent=?            age=middle_aged langs=['en-US']
  'Tristan'            'Tristan'            gender=male   accent=?            age=middle_aged langs=['en-US']
  'Nadia'              'Nadia'              gender=female accent=?            age=middle_aged langs=['en-US']
  'Selene'             'Selene'             gender=female accent=?            age=young      langs=['en-US']
  'Marcus'             'Marcus'             gender=male   accent=?            age=middle_aged langs=['en-US']
  'Riley'              'Riley'              gender=female accent=?            age=young      langs=['en-US']
  'Damon'              'Damon'              gender=male   accent=?            age=middle_aged langs=['en-US']
  'Cedric'             'Cedric'             gender=male   accent=?            age=middle_aged langs=['en-US']
  'Mia'                'Mia'                gender=female accent=?            age=young      langs=['en-US']
  'Naomi'              'Naomi'              gender=female accent=?            age=middle_aged langs=['en-US']
  'Jonah'              'Jonah'              gender=male   accent=?            age=middle_aged langs=['en-US']
  'Levi'               'Levi'               gender=male   accent=?            age=middle_aged langs=['en-US']
  'Avery'              'Avery'              gender=male   accent=?            age=young      langs=['en-US']
  'Brandon'            'Brandon'            gender=male   accent=?            age=middle_aged langs=['en-US']
  'Conrad'             'Conrad'             gender=male   accent=?            age=middle_aged langs=['en-US']
  'Bianca'             'Bianca'             gender=female accent=?            age=middle_aged langs=['en-US']
  'Lucian'             'Lucian'             gender=male   accent=?            age=middle_aged langs=['en-US']
  'Trevor'             'Trevor'             gender=male   accent=?            age=middle_aged langs=['en-US']
  'Alex'               'Alex'               gender=male   accent=?            age=middle_aged langs=['en-US']
  'Ashley'             'Ashley'             gender=female accent=?            age=middle_aged langs=['en-US']
  'Craig'              'Craig'              gender=male   accent=british      age=elderly    langs=['en-US']
  'Deborah'            'Deborah'            gender=female accent=?            age=young      langs=['en-US']
  'Dennis'             'Dennis'             gender=male   accent=?            age=middle_aged langs=['en-US']
  'Edward'             'Edward'             gender=male   accent=?            age=middle_aged langs=['en-US']
  'Elizabeth'          'Elizabeth'          gender=female accent=?            age=middle_aged langs=['en-US']
  'Hades'              'Hades'              gender=male   accent=?            age=middle_aged langs=['en-US']
  'Julia'              'Julia'              gender=female accent=?            age=middle_aged langs=['en-US']
  'Pixie'              'Pixie'              gender=female accent=?            age=middle_aged langs=['en-US']
  'Mark'               'Mark'               gender=male   accent=?            age=middle_aged langs=['en-US']
  'Olivia'             'Olivia'             gender=female accent=british      age=middle_aged langs=['en-US']
  'Priya'              'Priya'              gender=female accent=?            age=young      langs=['en-US']
  'Ronald'             'Ronald'             gender=male   accent=british      age=elderly    langs=['en-US']
  'Sarah'              'Sarah'              gender=female accent=?            age=middle_aged langs=['en-US']
  'Shaun'              'Shaun'              gender=male   accent=?            age=middle_aged langs=['en-US']
  'Theodore'           'Theodore'           gender=male   accent=?            age=elderly    langs=['en-US']
  'Timothy'            'Timothy'            gender=male   accent=?            age=young      langs=['en-US']
  'Wendy'              'Wendy'              gender=female accent=british      age=elderly    langs=['en-US']
  'Dominus'            'Dominus'            gender=male   accent=?            age=middle_aged langs=['en-US']
  'Hana'               'Hana'               gender=female accent=?            age=young      langs=['en-US']
  'Clive'              'Clive'              gender=male   accent=british      age=middle_aged langs=['en-US']
  'Carter'             'Carter'             gender=male   accent=?            age=middle_aged langs=['en-US']
  'Blake'              'Blake'              gender=male   accent=?            age=middle_aged langs=['en-US']
  'Luna'               'Luna'               gender=female accent=?            age=middle_aged langs=['en-US']
  'Yichen'             'Yichen'             gender=male   accent=?            age=middle_aged langs=['zh-CN']
  'Xiaoyin'            'Xiaoyin'            gender=female accent=?            age=young      langs=['zh-CN']
  'Xinyi'              'Xinyi'              gender=female accent=?            age=young      langs=['zh-CN']
  'Jing'               'Jing'               gender=female accent=?            age=young      langs=['zh-CN']
  'Erik'               'Erik'               gender=male   accent=?            age=middle_aged langs=['nl-NL']
  'Katrien'            'Katrien'            gender=female accent=?            age=middle_aged langs=['nl-NL']
  'Lennart'            'Lennart'            gender=male   accent=?            age=middle_aged langs=['nl-NL']
  'Lore'               'Lore'               gender=female accent=?            age=middle_aged langs=['nl-NL']
  'Alain'              'Alain'              gender=male   accent=?            age=middle_aged langs=['fr-FR']
  'Hélène'             'Hélène'             gender=female accent=?            age=middle_aged langs=['fr-FR']
  'Mathieu'            'Mathieu'            gender=male   accent=?            age=middle_aged langs=['fr-FR']
  'Étienne'            'Étienne'            gender=male   accent=?            age=middle_aged langs=['fr-FR']
  'Johanna'            'Johanna'            gender=female accent=?            age=middle_aged langs=['de-DE']
  'Josef'              'Josef'              gender=male   accent=?            age=middle_aged langs=['de-DE']
  'Gianni'             'Gianni'             gender=male   accent=?            age=middle_aged langs=['it-IT']
  'Orietta'            'Orietta'            gender=female accent=?            age=middle_aged langs=['it-IT']
  'Asuka'              'Asuka'              gender=female accent=?            age=middle_aged langs=['ja-JP']
  'Satoshi'            'Satoshi'            gender=male   accent=?            age=middle_aged langs=['ja-JP']
  'Hyunwoo'            'Hyunwoo'            gender=male   accent=?            age=middle_aged langs=['ko-KR']
  'Minji'              'Minji'              gender=female accent=?            age=young      langs=['ko-KR']
  'Seojun'             'Seojun'             gender=male   accent=?            age=young      langs=['ko-KR']
  'Yoona'              'Yoona'              gender=female accent=?            age=middle_aged langs=['ko-KR']
  'Szymon'             'Szymon'             gender=male   accent=?            age=middle_aged langs=['pl-PL']
  'Wojciech'           'Wojciech'           gender=male   accent=?            age=middle_aged langs=['pl-PL']
  'Heitor'             'Heitor'             gender=male   accent=?            age=middle_aged langs=['pt-BR']
  'Maitê'              'Maitê'              gender=female accent=?            age=middle_aged langs=['pt-BR']
  'Diego'              'Diego'              gender=male   accent=?            age=young      langs=['es-ES']
  'Lupita'             'Lupita'             gender=female accent=?            age=young      langs=['es-ES']
  'Miguel'             'Miguel'             gender=male   accent=?            age=middle_aged langs=['es-ES']
  'Rafael'             'Rafael'             gender=male   accent=?            age=middle_aged langs=['es-ES']
  'Svetlana'           'Svetlana'           gender=female accent=?            age=middle_aged langs=['ru-RU']
  'Elena'              'Elena'              gender=female accent=?            age=middle_aged langs=['ru-RU']
  'Dmitry'             'Dmitry'             gender=male   accent=?            age=middle_aged langs=['ru-RU']
  'Nikolai'            'Nikolai'            gender=male   accent=?            age=middle_aged langs=['ru-RU']
  'Riya'               'Riya'               gender=female accent=?            age=middle_aged langs=['hi-IN']
  'Manoj'              'Manoj'              gender=male   accent=?            age=middle_aged langs=['hi-IN']
  'Yael'               'Yael'               gender=female accent=?            age=middle_aged langs=['he-IL']
  'Oren'               'Oren'               gender=male   accent=?            age=middle_aged langs=['he-IL']
  'Nour'               'Nour'               gender=female accent=?            age=middle_aged langs=['ar-SA']
  'Omar'               'Omar'               gender=male   accent=?            age=middle_aged langs=['ar-SA']
  'Reed'               'Reed'               gender=male   accent=?            age=middle_aged langs=['en-US']
  'Duncan'             'Duncan'             gender=male   accent=?            age=middle_aged langs=['en-US']
  'Felix'              'Felix'              gender=male   accent=?            age=middle_aged langs=['en-US']
  'Eleanor'            'Eleanor'            gender=female accent=?            age=middle_aged langs=['en-US']
  'Sophie'             'Sophie'             gender=female accent=?            age=middle_aged langs=['en-US']

Source: mixed
Fetched at: 2026-04-18 08:12:38.554090+00:00

Notes: TTS: {'urls_fetched': ['https://docs.inworld.ai/tts/tts'], 'model': 'claude-haiku-4-5-20251001', 'input_tokens': 3787, 'output_tokens': 860}; STT: {'urls_fetched': ['https://docs.inworld.ai/stt/overview'], 'model': 'claude-haiku-4-5-20251001', 'input_tokens': 4695, 'output_tokens': 523}
